"COD","CODMUN7","Estado","ano","Nome","CV_SCR1 (1 ano)","CV_SCR2 (15 meses)"
"110001","1100015","Rondônia","2016","Alta Floresta D'Oeste","10611","9208"
"110002","1100023","Rondônia","2016","Ariquemes","45300555","8952"
"110003","1100031","Rondônia","2016","Cabixi","2869","7711"
"110004","1100049","Rondônia","2016","Cacoal","40083","8232"
"110005","1100056","Rondônia","2016","Cerejeiras","8699","8551"
"110006","1100064","Rondônia","2016","Colorado do Oeste","8851","10080"
"110007","1100072","Rondônia","2016","Corumbiara","4251","11081"
"110008","1100080","Rondônia","2016","Costa Marques","6266","11303"
"110009","1100098","Rondônia","2016","EspigÆo D'Oeste","15107","9259"
"110010","1100106","Rondônia","2016","Guajar 0Mirim","16920","7031"
"110011","1100114","Rondônia","2016","Jaru","24774","8170"
"110012","1100122","Rondônia","2016","Ji0Paran ","60324","8913"
"110013","1100130","Rondônia","2016","Machadinho D'Oeste","14955","11151"
"110014","1100148","Rondônia","2016","Nova Brasilƒndia D'Oeste","10188","8701"
"110015","1100155","Rondônia","2016","Ouro Preto do Oeste","19251","6382"
"110018","1100189","Rondônia","2016","Pimenta Bueno","18348","9795"
"110020","1100205","Rondônia","2016","Porto Velho","215855","9576"
"110025","1100254","Rondônia","2016","Presidente M‚dici","11553","12879"
"110026","1100262","Rondônia","2016","Rio Crespo","1370","10000"
"110028","1100288","Rondônia","2016","Rolim de Moura","25383","9748"
"110029","1100296","Rondônia","2016","Santa Luzia D'Oeste","4521","9083"
"110030","1100304","Rondônia","2016","Vilhena","41211","9776"
"110032","1100320","Rondônia","2016","SÆo Miguel do Guapor‚","10257","10912"
"110033","1100338","Rondônia","2016","Nova Mamor‚","10418","11875"
"110034","1100346","Rondônia","2016","Alvorada D'Oeste","7603","14133"
"110037","1100379","Rondônia","2016","Alto Alegre dos Parecis","6148","12703"
"110040","1100403","Rondônia","2016","Alto Para¡so","9019","3678"
"110045","1100452","Rondônia","2016","Buritis","16944","11653"
"110050","1100502","Rondônia","2016","Novo Horizonte do Oeste","4806","8073"
"110060","1100601","Rondônia","2016","Cacaulƒndia","2990","6944"
"110070","1100700","Rondônia","2016","Campo Novo de Rond“nia","5684","4545"
"110080","1100809","Rondônia","2016","Candeias do Jamari","8824","10730"
"110090","1100908","Rondônia","2016","Castanheiras","1771","9608"
"110092","1100924","Rondônia","2016","Chupinguaia","4426","13893"
"110094","1100940","Rondônia","2016","Cujubim","7539","10111"
"110100","1101005","Rondônia","2016","Governador Jorge Teixeira","4609","11908"
"110110","1101104","Rondônia","2016","ItapuÆ do Oeste","4258","13214"
"110120","1101203","Rondônia","2016","Ministro Andreazza","4644","13478"
"110130","1101302","Rondônia","2016","Mirante da Serra","5899","8362"
"110140","1101401","Rondônia","2016","Monte Negro","6871","7331"
"110143","1101435","Rondônia","2016","Nova UniÆo","4079","8310"
"110145","1101450","Rondônia","2016","Parecis","2069","12778"
"110146","1101468","Rondônia","2016","Pimenteiras do Oeste","1080","8846"
"110147","1101476","Rondônia","2016","Primavera de Rond“nia","1476","13500"
"110148","1101484","Rondônia","2016","SÆo Felipe D'Oeste","2814","10694"
"110149","1101492","Rondônia","2016","SÆo Francisco do Guapor‚","8271","10975"
"110150","1101500","Rondônia","2016","Seringueiras","6215","10163"
"110155","1101559","Rondônia","2016","Teixeir¢polis","2539","12000"
"110160","1101609","Rondônia","2016","Theobroma","5423","19905"
"110170","1101708","Rondônia","2016","Urup ","6402","9179"
"110175","1101757","Rondônia","2016","Vale do Anari","4549","1845"
"110180","1101807","Rondônia","2016","Vale do Para¡so","3121","14355"
"120001","1200013","Acre","2016","Acrelƒndia","5108","8326"
"120005","1200054","Acre","2016","Assis Brasil","2151","1558"
"120010","1200104","Acre","2016","Brasil‚ia","8582","7834"
"120013","1200138","Acre","2016","Bujari","3353","7358"
"120017","1200179","Acre","2016","Capixaba","4038","6774"
"120020","1200203","Acre","2016","Cruzeiro do Sul","30372","5915"
"120025","1200252","Acre","2016","Epitaciolƒndia","6585","5415"
"120030","1200302","Acre","2016","Feij¢","11048","3767"
"120032","1200328","Acre","2016","JordÆo","1808","10074"
"120033","1200336","Acre","2016","Mƒncio Lima","5121","2254"
"120034","1200344","Acre","2016","Manoel Urbano","2985","5698"
"120035","1200351","Acre","2016","Marechal Thaumaturgo","5281","2740"
"120038","1200385","Acre","2016","Pl cido de Castro","5940","7632"
"120039","1200393","Acre","2016","Porto Walter","3486","3837"
"120040","1200401","Acre","2016","Rio Branco","154892","7354"
"120042","1200427","Acre","2016","Rodrigues Alves","4786","11641"
"120043","1200435","Acre","2016","Santa Rosa do Purus","1258","16906"
"120045","1200450","Acre","2016","Senador Guiomard","8328","3593"
"120050","1200500","Acre","2016","Sena Madureira","15967","6138"
"120060","1200609","Acre","2016","Tarauac ","12018","5965"
"120070","1200708","Acre","2016","Xapuri","6903","6792"
"120080","1200807","Acre","2016","Porto Acre","4640","6232"
"130002","1300029","Amazonas","2016","AlvarÆes","3768","8309"
"130006","1300060","Amazonas","2016","Amatur ","2420","14683"
"130008","1300086","Amazonas","2016","AnamÆ","4216","7267"
"130010","1300102","Amazonas","2016","Anori","6679","9722"
"130014","1300144","Amazonas","2016","Apu¡","8195","11550"
"130020","1300201","Amazonas","2016","Atalaia do Norte","5628","7943"
"130030","1300300","Amazonas","2016","Autazes","11997","5622"
"130040","1300409","Amazonas","2016","Barcelos","7366","5916"
"130050","1300508","Amazonas","2016","Barreirinha","9789","6824"
"130060","1300607","Amazonas","2016","Benjamin Constant","12587","3751"
"130063","1300631","Amazonas","2016","Beruri","5185","6296"
"130068","1300680","Amazonas","2016","Boa Vista do Ramos","5349","9918"
"130070","1300706","Amazonas","2016","Boca do Acre","10947","6345"
"130080","1300805","Amazonas","2016","Borba","13479","9847"
